#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
211,Anguilla,29,,,,25,,4,,1919,,17376,1150043,15,109,521,,1,,
212,Vatican City,27,,,,15,,12,,33624,,,,803,30,,,,,
213,Saint Pierre Miquelon,25,,,,24,,1,,4332,,5318,921504,5,771,231,,1,,
214,Montserrat,20,,1,,19,,0,,4005,200,1313,262915,4,994,250,4994,4,,
215,Solomon Islands,20,,,,18,,2,,29,,4500,6427,700,195,35010,,156,,
216,Western Sahara,10,,1,,8,,1,,16,2,,,608,945,60895,608945,,,
217,MS Zaandam,9,,2,,7,,0,,,,,,,,,,,,
218,Marshall Islands,4,,,,4,,0,,67,,,,59,508,14877,,,,
219,Samoa,3,,,,2,,1,,15,,,,199,463,66488,,,,
220,Vanuatu,3,,,,1,,2,,10,,470,1502,312,820,104273,,666,,
221,Micronesia,1,,,,1,,0,,9,,,,115,981,115981,,,,
